,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
4059,  Mavenick Consult...  ,"  Pune,Maharashtra  ",  4 years old  , nan , nan 
4060,  Segmind  ,"  Bangalore,Karnataka  ",  4 years old  , nan , nan 
4061,  Carrot Fertility  ,"  San Francisco,California  ",  6 years old  , nan , nan 
4062,  ElevateHQ  ,"  Bangalore,Karnataka  ",  2 years old  , nan , nan 
4063,  Rage Fan  ,  1 years old  , nan , nan , nan 
4064,  Savemom  ,"  Bangalore,Karnataka  ",  6 years old  , nan , nan 
4065,  Free Paisa  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
4066,  Washingtonne Hyg...  ,"  GautamBudh Nagar,Uttar Pradesh  ",  7 years old  ,  11-50 Employees (India)  , nan 
4067,  Cloud One Enterp...  ,  Delhi  ,  7 years old  ,  1-10 Employees (India)  , nan 
4068,  Clip App  ,"  Bengaluru,Karnataka  ",  6 years old  ,  1-10 Employees (India)  , nan 
4069,  Digview  ,  Bangalore  ,  7 years old  , nan , nan 
4070,  Startalyze  ,  Delhi  ,  6 years old  ,  1-10 Employees (India)  , nan 
4071,  Sri Mandir  ,  Bangalore  ,  2 years old  ,  51-200 Employees (India)  , nan 
4072,  Assiduus Global  ,"  Wilmington,Delaware  ",  4 years old  ,  11-50 Employees (India)  , nan 
4073,  Headfone  ,"  Bangalore,Karnataka  ",  6 years old  ,  11-50 Employees (India)  , nan 
4074,  FitCircle  ,  Mumbai  ,  9 years old  ,  201-500 Employees (India)  , nan 
4075,  FundzBazar  ,"  Ahmedabad,Gujarat  ",  6 years old  ,  501-1k Employees (India)  , nan 
4076,  ContentDada  ,"  Karur,Tamil Nadu  ",  6 years old  ,  1-10 Employees (India)  , nan 
4077,  EasyFi  ,  Mumbai  ,  2 years old  ,  1-10 Employees (India)  , nan 
4078,  Sonnet Insurance  ,  6 years old  , nan , nan , nan 
4079,  Tavaga Advisory ...  ,"  Mumbai,Maharashtra  ",  7 years old  , nan , nan 
4080,  MangoPoint  ,"  Chennai,Tamil Nadu  ",  4 years old  , nan , nan 
4081,  Last9 Inc  ,"  Pune,Maharashtra  ",  2 years old  , nan , nan 
4082,  Sema4  ,"  Stamford,Connecticut  ",  5 years old  , nan , nan 
4083,  Mavshack  ,"  Stockholm,Stockholm County  ",  9 years old  , nan , nan 
4084,  FlixDrop Technol...  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
4085,  botman.ninja  ,"  Bangalore,Karnataka  ",  5 years old  , nan , nan 
4086,  Maknet  ,"  Bangkok,Bangkok  ",  2 years old  , nan , nan 
4087,  SuperOps.ai  ,"  Chennai,Tamil Nadu  ",  2 years old  ,  11-50 Employees (India)  , nan 
4088,  Celularity  ,"  Warren,New Jersey  ",  6 years old  , nan , nan 
4089,  Checkr  ,"  San Francisco,California  ",  8 years old  , nan , nan 
4090,  Vicara  ,"  Bangalore,Karnataka  ",  5 years old  , nan , nan 
4091,  LotusPay  ,"  Bangalore,Karnataka  ",  5 years old  , nan , nan 
4092,  Fantasy Akhada  ,  Private  ,"  Gurgaon,Haryana  ",  2 years old  ,  11-50 Employees (India)  
4093,  ASQI Advisors  ,"  Mumbai,Maharashtra  ",  3 years old  ,  11-50 Employees (India)  , nan 
4094,  YNOS Venture Eng...  ,"  Chennai,Tamil Nadu  ",  5 years old  , nan , nan 
4095,  Mowito  ,"  Bangalore,Karnataka  ",  3 years old  , nan , nan 
4096,  MyCareline  ,"  Delhi,NCT  ",  8 years old  , nan , nan 
4097,  Wellcure Infotec...  ,"  Gurgaon,Haryana  ",  4 years old  , nan , nan 
4098,  PathShodh Health...  ,"  Bangalore,Karnataka  ",  7 years old  ,  11-50 Employees (India)  , nan 
4099,  XMachines  ,"  Hyderabad,Telangana  ",  5 years old  , nan , nan 
4100,  Explurger  ,"  Delhi,NCT  ",  3 years old  , nan , nan 
4101,  ParkSmart  ,"  Delhi,NCT  ",  3 years old  ,  51-200 Employees (India)  , nan 
4102,  Vendor Infra Glo...  ,"  Haryana,Haryana  ",  3 years old  ,  11-50 Employees (India)  , nan 
4103,  Spire Global  ,"  San Francisco,California  ",  10 years old  , nan , nan 
4104,  CHEQ  ,"  Tel Aviv,Tel Aviv  ",  8 years old  , nan , nan 
4105,  GarageWorks  ,"  Pune,Maharashtra  ",  7 years old  , nan , nan 
4106,  CLAPS  ,"  Mumbai,Maharashtra  ",  9 years old  , nan , nan 
4107,  Fyllo  ,"  Bangalore,Karnataka  ",  3 years old  , nan , nan 
4108,  Funnel  ,"  Stockholm,Stockholm County  ",  8 years old  , nan , nan 
4109,  Flashdoor  ,"  Bangalore,Karnataka  ",  7 years old  , nan , nan 
4110,  Raycast Technolo...  ,  Kochi  , nan , nan , nan 
4111,  MarketFinance In...  ,"  London,England  ",  7 years old  , nan , nan 
4112,  Novaviz Technolo...  ,"  Gurgaon,Haryana  ",  8 years old  , nan , nan 
